"Dragon Word","Word Type","Canon Level",Definition,Notes
Aavey,verb,Semi-Canon,Splice,"A compound of ""Aav,"" ""join,"" and ""Vey,"" ""cut."" "
Aavgolz,noun,Modern,"Lodestone, Magnetite, Magnet, Magnetic","From ""Aav"" and ""Golz,"" ""joining stone."""
Aavin,noun,Semi-Canon,"Joint, Juncture Junction","From ""Aav,"" ""to join."""
Aavlaas,verb,Semi-Canon,"Wed, Marry, Marriage, Wedding","A combination of ""Aav"" (Join) and ""Laas"" (Life). Can be used as the verb ""to wed"", or the noun ""wedding""."
Aavlaas-Ofan,noun,Semi-Canon,Dowry,"Lit. ""wedding-gift."""
Aavlaas-Vaat,verb,Semi-Canon,"Betroth, Betrothal","From ""Aavlaas"" and ""Vaat,"" ""marriage-swear,"" ""marriage-sworn."""
Aavlaasnu,adjective,Semi-Canon,Unmarried,"Lit. ""marriage-less."""
Aavmindinrot,noun,Modern,Suffix,"Lit. ""joined after word."""
Aavon,verb,Semi-Canon,"Participate, to take part","From ""Aav,"" ""join."""
Aavrosii,noun,Semi-Canon,"Sympathy, Condolence","Lit. ""joined essence of sorrow"". Edited from ""Aavriiso."""
Aavusrot,noun,Modern,Prefix,"Lit. ""joined before word."""
Aax,verb,Non-Canon,"Harm, Damage","Edited from ""Arx."""
Aaz,noun,Canon,Mercy,
Aazaal,adjective,Semi-Canon,Merciful,"""Aaz"" with the suffix ""-aal"", ""with or having mercy""."
Aaznu,adjective,Semi-Canon,Merciless,"""Aaz"" with the suffix ""-nu""."
Aazrii,noun,Semi-Canon,Pity,"From ""Aaz"", ""mercy"", ""Zii"", ""spirit"", and ""Rii"", ""essence""."
Ag,verb,Canon,Burn,
Agiid,noun,Semi-Canon,Burner,"""Ag"" with suffix ""-iid""."
Agnaar,noun,Semi-Canon,Pyre,"Edited from ""Hutok."" Portmanteau of ""Ag"" and ""Angaar,"" ""burning tower."""
Agniir,noun,Semi-Canon,Fuel,"""Ag"" with the suffix ""-niir,"" ""that which is burned."""
Agosvah,noun,Semi-Canon,Firewood,"Lit. ""burn-wood."""
Agreh,verb,Semi-Canon,Char,"From ""Ag"". Can also be used as a noun."
Agrokey,noun,Modern,Motorcycle,"Lit. ""burn-balance-horse."""
Agrokeyd,noun,Modern,"Motorcyclist, Biker","""Agrokey"" with suffix ""-iik/-d,"" ""motorcycle-rider."""
Agzii,noun,Semi-Canon,"Fervor, Fervorous, Fervent, Fervid","Literally ""Burn(ing) Spirit"". A consuming passion, usually self-destructive. See also ""Frinzii"" and ""Yolzii""."
Ah,noun,Canon,Hunter,
Ah-Thulzun,noun,Modern,"Rifle, Carbine","Lit. ""hunter gun"". Edited from ""Ahmulrunaz."""
Ahdinaak,adjective,Non-Canon,"Special, Exceptional",
Ahfaraaz,verb,Non-Canon,Patronize,
Ahfiz,verb,Non-Canon,Impel,"From the Old English Word ""Afysan""."
Ahgil,noun,Non-Canon,Clay,
Ahgilbaas,adjective,Non-Canon,Ceramic,"""Ahgil,"" ""clay,"" with ""Baas,"" ""art."""
Ahgon,verb,Semi-Canon,Scald,"From ""Ag,"" ""to burn."""
Ahgraat,noun,Semi-Canon,Vanguard,"Related to ""Grah"", ""battle""."
Ahgreld,noun,Non-Canon,Impulse,
Ahgrun,noun,Non-Canon,Chasm,
Ahk,adverb,Non-Canon,"Also, Too","""Too"" meaning ""as well"" or ""also."" For ""excessively,"" see ""Yu."""
Ahkol,noun,Non-Canon,Charcoal,
Ahkon,noun,Non-Canon,Trouble,"Edited from ""Arokon."""
Ahkonaal,adjective,Non-Canon,Troubled,"""Ahkon"" with the suffix ""-aal,"" ""with or having trouble."""
Ahkoraav,verb,Semi-Canon,"Exhibit, Exhibition","From ""Koraav"", ""to see""."
Ahkos,verb,Semi-Canon,"Exist / Existence","Edited from ""Agos."" Related to ""Kos,"" ""to be."""
Ahkriim,noun,Non-Canon,Capital,"Edited from ""Akriim."""
Ahkriis,noun,Non-Canon,Acorn,"Edited from ""Aakiis."""
Ahkrin,noun,Canon,Courage,
Ahkrinaal,adjective,Semi-Canon,Gallant,"Gallant, ""Courage"" + -aal, literally meaning ""with courage""."
Ahkrinaar,noun,Semi-Canon,Gallantry,"Modified from ""Akrinaal"", ""Gallant""."
Ahkrol,verb,Non-Canon,"Abrade, Shave, Scrape",
Ahkron,verb,Semi-Canon,Prevail,"Edited from ""Ahwald."" From ""Kron,"" ""to win/conquer."""
Ahkrop,verb,Non-Canon,"Crawl, Creep, Sneak",
Ahkropiik,noun,Non-Canon,"Crawler, Creeper","""Ahkrop"" with suffix ""-iik""."
Ahkropus,adjective,Non-Canon,"Crawly, Creepy, Sneaky","From ""Ahkrop"" with suffix ""-us""."
Ahkt,verb,Non-Canon,Brace,
Ahkt-Vahraniik,noun,Modern,"Orthodontist
","From ""Ahkt"" and ""Vahraniik,"" ""brace-healer."""
Ahlaaf,noun,Non-Canon,"Loaf, loaf of bread","From the Old English word ""Hlaf"" from which the modern word ""Loaf"" is derived."
Ahlek,noun,Non-Canon,"Bottle, Canteen",
Ahleksevmah,noun,Modern,Coaster,"Lit. ""bottle mat""."
Ahlon,verb,Non-Canon,Relate,
Ahlond,noun,Non-Canon,"Relation / Relations","""Ahlon"" with the suffix ""-nd""."
Ahlondein,noun,Non-Canon,Relationship,"""Ahlond"" with the suffix ""-ein""."
Ahloriiv,verb,Non-Canon,Soothe,"Related to ""Lor"", ""thought""."
Ahmiin,noun,Semi-Canon,"Vigilant, Attentive, Aware, Alert / Vigilance, Attention, Awareness, Alertness","A compound of ""Ah"" and ""Miin"", ""hunter eye"" or ""hunter-eyed."""
Ahmik,noun,Canon,Service,
Ahmil,verb,Semi-Canon,"Hire, Employ","Based on ""Ahmik"", ""service""."
Ahmilaat,noun,Semi-Canon,"Worker, Employee","""Ahmil"" with the suffix ""-aat"", ""someone who is hired/employed""."
Ahmiliik,noun,Semi-Canon,"Employer, Boss","Ahmil with the suffix ""-iik."""
Ahmin,verb,Semi-Canon,Notice,"From ""Mindok"", ""to know"". Can also be used as a noun."
Ahminaal,adjective,Semi-Canon,Noticeable,"Ahmin + aal, having notice."
Ahmos,noun,Non-Canon,Swan,"Edited from ""Ahmol."""
Ahmosunaak,noun,Modern,Oboe,"From ""Ahmos,"" ""swan,"" and ""Sunaak,"" ""reed,"" lit. ""swan-reed."""
Ahmosunaakin,noun,Modern,Oboist,"Lit. ""oboe-master."""
Ahmul,noun,Canon,Husband,
Ahmun,noun,Semi-Canon,Groom,"Related to ""Ahmul"", ""husband""."
Ahnaak,noun,Semi-Canon,Spoon,"From ""Naak,"" ""to eat."" Edited from ""Enahk."""
Ahnaak-Liik,noun,Modern,Yogurt,"Lit. ""spoon-milk."""
Ahnaar,noun,Non-Canon,"Torture, Torturer","Can be used as both a noun and verb."
Ahney,conjunction,Semi-Canon,Either,"From ""Ney,"" ""both."" Edited from ""Hjane."""
Ahniif,verb,Non-Canon,"Smirk, Sneer","Can also be used as a noun. Edited from ""Hiniif."" Related to ""Niif,"" ""smile."""
Ahnok,interjection,Non-Canon,"Hello, Hi, Hey",
Ahnul,noun,Non-Canon,Stem,
Ahpaan,noun,Non-Canon,Bag,
Ahraan,noun,Canon,"Wound, Injury, Injure, Hurt",
Ahraan-Jiik,noun,Semi-Canon,"Masochist, Masochism","Lit. ""wound-joy."""
Ahraandon,noun,Semi-Canon,Bandage,"Lit. ""wound-cover""."
Ahreyt,noun,Non-Canon,Lily,"Edited from ""Arahst."""
Ahrii,interjection,Non-Canon,Alas,
Ahrk,conjunction,Canon,And,
Ahrol,noun,Canon,Hill,
Ahroldan,noun,Canon,"Old Hroldan Inn, H'roldan","Known as H'roldan before Old Hroldan."
Ahrolsedovah,noun,Canon,Whiterun,"The Dragon name for Whiterun, meaning ""Hill of the Dragons""."
Ahrot,verb,Semi-Canon,Impose,"Edited from ""Ahlag."" From ""Rot,"" ""word,"" imposing one's word or rule."
Ahsit,noun,Non-Canon,Turnip,
Ahsod,noun,Semi-Canon,"Task, Errand, Goal, Mission","From ""Sod,"" ""deed."" Edited from ""Hesk."""
Ahst,preposition,Canon,At,
Ahstaad,adverb,Semi-Canon,Somewhere,"A compound of ""Ahst"" and ""Staad"", literally ""at a place"". "
Ahstaadvoz,adverb,Semi-Canon,Elsewhere,"From ""Ahstaad"" and ""Voz"", ""somewhere-else""."
Ahstiid,adverb,Semi-Canon,"Sometime, Sometimes","A compound of ""Ahst"" and ""Tiid"", literally ""at a time"" or ""at times."""
Ahstiid,preposition,Semi-Canon,"During, Throughout, in the time of, at that time","Compound of ""Ahst"" and ""Tiid,"" ""at the time."" Used to indicate duration and time. See also ""Melaat."""
Ahstiir,noun,Non-Canon,"Situation, Circumstance","From the Icelandic for ""situation,"" ""aðstæður."""
Ahstiroz,noun,Non-Canon,Controversy,"Related to ""Ahstiir"", ""situation""."
Ahsul,adverb,Semi-Canon,Someday,"Derived from ""Aan"" and ""Sul."""
Ahtamun,noun,Semi-Canon,"Amateur, Novice","Related to ""Mun"", ""man"". Can also be an adjective."
Ahtiid,verb,Canon,Wear,"To wear clothing, or to wear with time."
Ahvakaar,noun,Non-Canon,Abomination,"From ""Ahvakiid"", ""abominable""."
Ahvakiid,adjective,Non-Canon,Abominable,"Inspired from Swedish (avskyvärd) and Norwegian (avskyelig)."
Ahvaruz,noun,Non-Canon,Adultery,"Inspired from the Old English word ""æwbryce""."
Ahvit,verb,Non-Canon,Chant,"Also can be used as a noun. Edited from ""Ahqor."""
Ahvitaan,noun,Non-Canon,Chanter,"From ""Ahvit,"" ""to chant."""
Ahvos,verb,Non-Canon,Harvest,
Ahvosiik,noun,Non-Canon,Harvester,"""Ahvos"" with suffix ""-iik""."
Ahvulon,noun,Semi-Canon,Assassin,"Shortened from ""Ahsevulon"", ""hunter of the night""."
Ahvus,noun,Non-Canon,Plant,"Can also be used as a verb, 'to plant""."
Ahvusnaak,noun,Semi-Canon,Herbivore,"A combination of ""plant"" and ""eat""."
Ahzid,adjective,Canon,Bitter,
Ahzidal,noun,Canon,"dragon priest name, lit. ""bitter destroyer.""",
Ahzidhes,adjective,Semi-Canon,Bittersweet,"Literally, ""bitter-sweet""."
Ahzidhonaat,noun,Semi-Canon,"Dissonance, Dissonant","""Ahzid"" with ""Honaat,"" lit. ""bitter sound"" or ""bitter-sounding."""
Ahzidiik,noun,Semi-Canon,"Grouch, Curmudgeon, someone who is bitter","""Ahzid"" with the suffix ""-iik."""
Ahzidom,noun,Modern,Muskrat,"Lit. ""bitter-hair."""
Ahzidremhah,adjective,Modern,"Minor (music)","Refers to the musical term. ""Ahzid"" with ""dremhah"", Lit. ""Bitter Harmony""."
Ahzuk,noun,Non-Canon,Freak,"Edited from ""Ahrzuk."""
Ahzukus,adjective,Non-Canon,"Freaky, Freakish","From ""Ahzuk"" with suffix ""-us""."
Ahzul,noun,Semi-Canon,Malice,"Related to ""Ahzid"", ""bitter""."
Ahzulkei,adjective,Semi-Canon,Malicious,"""Ahzul"" with the suffix ""-kei."""
Ahzur,noun,Non-Canon,Lemon,
Akor,noun,Non-Canon,"Stern, Rear","Referring to the stern of a ship, rather than the adjective meaning ""serious""."
Akwaar,noun,Modern,Guitar,
Akwaarin,noun,Modern,Guitarist,"Lit. ""guitar-master."""
Al,noun,Canon,Destroyer,
Al,verb,Canon,Destroy,"Edited from ""Ald"" to canon ""Al."" ""Zu'u fen al,"" ""I will destroy."""
Aldol,verb,Semi-Canon,Raze,"A portamenteau of ""Al"", ""Du"", and ""Yol""."
Aldwiirok,verb,Semi-Canon,Deface,"Compound of ""Al"" and ""Dwiirok,"" ""destroy-carve."""
Alikr,noun,Canon,Alik'r,"The dragon language does not have a separate name for Alik'r. The apostrophe is removed in transliteration."
Alok,verb,Canon,"Arise, Rise","Possibly related to ""Lok."""
Alok-Dilon,noun,Canon,Necromancy,"A phrase that means ""arising-dead""."
Alun,adverb,Canon,Ever,
Alunlaag,noun,Semi-Canon,Coma,"From ""Alun"" and ""Laag,"" ""ever-sleep."""
Alunrinis,adjective,Semi-Canon,"Unchanging, Monotonous, Boring, Dull","From ""Alun"" and ""Rinis,"" ""ever-the-same."" Edited from ""Unos."""
Alunrovaan,noun,Semi-Canon,Vagabond,"Literally 'ever-wander'."
Aluntiid,noun,Semi-Canon,Future,"Lit. ""ever-time."""
Aluntiiduv,adjective,Modern,Futuristic,"""Aluntiid"" with the suffix ""-uv"", ""of or pertaining to the future"". Edited from ""Aluntidiil."""
Alzah,noun,Non-Canon,Ounce,
Alzit,adjective,Non-Canon,"Razor, Jagged","Edited from ""Aldin."""
Alzitrei,noun,Non-Canon,Zigzag,"From ""Alzit"" and ""Rei,"" ""jag-line."""
Am,noun,Canon,Lion,
Amativ,adverb,Canon,"Onward / Forward",
Amiv,preposition,Semi-Canon,"Onto / Unto","From ""Amativ"", ""onward"". Edited from ""Nawah""."
Amokriin,noun,Semi-Canon,"Griffin, Griffon, Gryphon","compund of 'Am' and 'Okriim'; lit. “lion eagle”"
Amriis,noun,Non-Canon,Silt,
Amvit,preposition,Semi-Canon,Ahead,"From ""Amativ,"" ""forward."" Edited from ""Prazan."""
Andag,noun,Non-Canon,Antler,"Based off of ""Andel"", ""branch""."
Andel,noun,Non-Canon,Branch,
Andiir,noun,Non-Canon,Icon,
Andiiv,noun,Non-Canon,Victim,
Andraas,noun,Non-Canon,"Sled, Sleigh","Edited from ""Drahsk."""
Angaar,noun,Non-Canon,Tower,"Edited from ""Angar"" and ""Ahngaar."""
Anhiim,noun,Non-Canon,"Citadel, Keep","From ""Hiim"", ""city,"" and ""Ahngaar,"" ""tower."""
Ankid,noun,Non-Canon,Anchor,
Ankol,verb,Non-Canon,"Moor, Anchor, to lay anchor","From ""Ankid,"" ""anchor."""
Areid,adverb,Non-Canon,Beside,"Based on ""Reid"", ""side""."
Aronuv,adjective,Non-Canon,Herbal,"Based on ""Arov"" with the suffix ""-nuv"", meaning ""of, like, or pertaining to herbs"". Edited from ""Aroniil."""
Aros,verb,Non-Canon,Arrive,
Arosend,noun,Non-Canon,"Arrival, Advent","""Aros"" with the suffix ""-end"", ""the act of arriving""."
Arov,noun,Non-Canon,Herb,
Asaar,noun,Non-Canon,"Agility, Dexterity","""Aas"" with the suffix ""-aar"". Shortened from ""Aasaar."""
Asamit,preposition,Non-Canon,Along,"From the Icelandic word for ""along"", ""ásamt."""
Asnir,verb,Non-Canon,"Hurry, Rush",
Ath,noun,Non-Canon,"Despair, Gloom","Derived from Old Norse ""aethra"""
Athaal,adjective,Non-Canon,Desperate,"Ath + aal, with despair."
Athend,noun,Non-Canon,Desperation,"Ath + end, the act of despairing."
Athlaan,verb,Semi-Canon,Implore,"Lit. ""despair-request""."
Athus,adjective,Non-Canon,Gloomy,"From ""Ath"", ""gloom"" with suffix ""-us""."
Ativ,adverb,Semi-Canon,Toward,"Reverse derived from ""Amativ"", ""onward"". Edited from ""Wapur""."
Ativaal,verb,Semi-Canon,Promote,"Related to ""Ativut"". Edited from ""Stenfal."""
Ativut,verb,Semi-Canon,"Advance, Advancement, Proceed, Progress, move forward","From ""Ativ,"" ""toward"". Edited from ""Stenfah."""
Ativutaal,adjective,Semi-Canon,"Progressive, Productive","""Ativut"" with suffix ""-aal""."
Atmora,noun,Canon,Atmora,"The dragon language does not have a separate name for Atmora."
Atruk,pronoun,Semi-Canon,Something,"Derived from ""Aan"" and ""Truk"", literally ""a thing"". "
Atum,preposition,Semi-Canon,Below,"Based on ""Tum"", ""down""."
Atumei,adjective,Semi-Canon,"Lesser, Lower, Inferior","From Atum, ""less"", to be below or lower than something."
Atumsahqo,noun,Modern,Infrared,"From ""Atum"" and ""Sahqo,"" ""below red."""
Atumun,noun,Semi-Canon,"Primate, Monkey, Ape","From ""Atumei"" and ""Mun,"" ""lesser man."""
Atumzahkoseyd,adjective,Modern,Subatomic,"Lit. means ""below atomic""."
Aus,verb,Canon,Suffer,
Aus-Jiik,noun,Semi-Canon,"Schadenfreude, Sadism, joy from the suffering of others or inflicting suffering","Lit. ""suffer-joy."""
Ausiik,noun,Semi-Canon,Sufferer,
Ausul,noun,Semi-Canon,Hell,"Literally, ""suffer eternity""."
Avmaad,noun,Non-Canon,Peanut,"From ""Maad,"" ""nut."""
Avodal,verb,Non-Canon,"Absolve, annul, uncurse",
Avodalend,noun,Non-Canon,Absolution,"""Avodal"" with the suffix ""-end"". "
Avok,preposition,Semi-Canon,"Above / Over","Based on ""Vok"", ""up"", and ""Alok"", ""arise"". ""Gram avok strunmah,"" ""There are clouds over the mountain."""
Avokaaz,adverb,Semi-Canon,"Overseas, across the sea","From ""Avok,"" ""over,"" and ""Okaaz,"" ""sea."" ""Mu wundun avokaaz,"" ""we travel across the sea."""
Avokbii,adjective,Modern,Ultraviolet,"Lit. ""above-blue."""
Avokdil,adjective,Non-Canon,Afloat,"Lit. ""above"", ""deep""."
Avokei,adjective,Semi-Canon,"Superior, Greater, Higher","From ""Avok"", ""above"", to be above or higher than something."
Avokmiin,noun,Semi-Canon,Eyebrow,"A compound that means ""above-eye""."
Avokstrah,noun,Modern,Overpass,"Lit ""above road"". "
Avoktum,adjective,Semi-Canon,"above and below","""Akovtum lok ahrk gol"", ""sky above and earth below""."
Avond,noun,Non-Canon,Evening,
Avtoknun,noun,Non-Canon,Sausage,
Baag,verb,Non-Canon,Punch,"Edited from ""Bahk."""
Baakrit,noun,Non-Canon,Bottom,"Edited from ""Baakriin."""
Baansir,noun,Non-Canon,Lisp,"Edited from ""Bansfir."""
Baar,adjective,Non-Canon,"Apparent, Apparently, Clear, Clearly","Edited from ""Laar"" to avoid conflict with possible canon word ""Laar""."
Baarkei,adjective,Non-Canon,"Obvious, Obviously, Blatant ","Derived from ""Baar"", ""clear"", being clear or full of clearness. Edited from ""Baarkei""."
Baarom,noun,Non-Canon,Clarity,"""Baar"" with the suffix ""-om"". Edited from ""Laarom""."
Baas,noun,Non-Canon,Art,"Edited from ""Bahs""."
Baasegolz,noun,Semi-Canon,Sculpture,"Literally, ""art of stone"". Edited from ""Bahsegolz""."
Baasekein,noun,Non-Canon,Warfare,"Literal translation: Art of war"
Baasus,adjective,Non-Canon,"Artsy, Artistic","""Baas"" with the suffix ""-us"". Edited from ""Bahsus""."
Baat,verb,Non-Canon,"Splat, Splatter",
Bah,noun,Canon,Wrath,
Bahlaan,adjective,Canon,Worthy,"Alternative spelling of ""Balaan."" ""Balaan"" should normally be used."
Bahlaan-Dahmaan,adjective,Semi-Canon,Memorable,"Lit. ""worthy-remember,"" or ""worth remembering."""
Bahlaan-Morah,adjective,Semi-Canon,"Notable, Noteworthy ","Lit. means ""worthy (of) focus/attention"". Can also be used as a noun."
Bahlaas,noun,Semi-Canon,Thirst,"Edited from ""Grent"" to avoid closeness with canon ""Krent."" From ""Bahlok,"" ""hunger."""
Bahlok,noun,Canon,Hunger,
Bahlokus,adjective,Semi-Canon,Hungry,"""Bahlok"" with the suffix ""-us""."
Bahlus,adjective,Semi-Canon,"Nasty, Ornery, Grouchy, Grumpy","From ""Bah,"" ""wrath."""
Bahnu,adjective,Semi-Canon,Benign,"Lit. ""wrathless."""
Bahsam,noun,Non-Canon,"Balm, Balsam","Based on ""balsam"" which doesn't differ in Old English, Swedish and Danish."
Bahvit,verb,Non-Canon,Rescue,"Edited from ""Bahvlir."""
Bahvit-Ronth,noun,Modern,Ambulance,"Lit. ""rescue-vehicle."""
